
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X           Y           Z         THXY    THYZ    THZX
       1    0.0000      1.0000      0.0000        0.00    0.00    0.00
       2    0.0000      2.0000      0.0000        0.00    0.00    0.00
       3    0.0000      1.0833      0.0000        0.00    0.00    0.00
       4    0.0000      1.1667      0.0000        0.00    0.00    0.00
       5    0.0000      1.2500      0.0000        0.00    0.00    0.00
       6    0.0000      3.0000      0.0000        0.00    0.00    0.00
       7    0.0000      2.1667      0.0000        0.00    0.00    0.00
       8    0.0000      2.3333      0.0000        0.00    0.00    0.00
       9    0.0000      2.4167      0.0000        0.00    0.00    0.00
      10    3.0000      0.0000      0.0000        0.00    0.00    0.00
      11    2.9990     0.78459E-01  0.0000        0.00    0.00    0.00
      12    2.9959     0.15686      0.0000        0.00    0.00    0.00
      13    2.9908     0.23538      0.0000        0.00    0.00    0.00
      14    2.9836     0.31373      0.0000        0.00    0.00    0.00
      15    2.9743     0.39165      0.0000        0.00    0.00    0.00
      16    2.9631     0.46930      0.0000        0.00    0.00    0.00
      17    2.9498     0.54671      0.0000        0.00    0.00    0.00
      18    2.9344     0.62374      0.0000        0.00    0.00    0.00
      19    2.8978     0.77646      0.0000        0.00    0.00    0.00
      20    2.8532     0.92705      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      21    2.7716      1.1481      0.0000        0.00    0.00    0.00
      22    2.6730      1.3620      0.0000        0.00    0.00    0.00
      23    2.5579      1.5675      0.0000        0.00    0.00    0.00
      24    2.4271      1.7634      0.0000        0.00    0.00    0.00
      25    2.2812      1.9483      0.0000        0.00    0.00    0.00
      26    2.1213      2.1213      0.0000        0.00    0.00    0.00
      27    1.9483      2.2812      0.0000        0.00    0.00    0.00
      28    1.7634      2.4271      0.0000        0.00    0.00    0.00
      29    1.5675      2.5579      0.0000        0.00    0.00    0.00
      30    2.0000      0.0000      0.0000        0.00    0.00    0.00
      31    2.1667      0.0000      0.0000        0.00    0.00    0.00
      32    2.3333      0.0000      0.0000        0.00    0.00    0.00
      33    2.4167      0.0000      0.0000        0.00    0.00    0.00
      34    1.0000      0.0000      0.0000        0.00    0.00    0.00
      35    1.0833      0.0000      0.0000        0.00    0.00    0.00
      36    1.1667      0.0000      0.0000        0.00    0.00    0.00
      37    1.2500      0.0000      0.0000        0.00    0.00    0.00
      38   0.99786     0.65403E-01  0.0000        0.00    0.00    0.00
      39   0.99144     0.13053      0.0000        0.00    0.00    0.00
      40   0.98079     0.19509      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      41   0.96593     0.25882      0.0000        0.00    0.00    0.00
      42   0.94693     0.32144      0.0000        0.00    0.00    0.00
      43   0.92388     0.38268      0.0000        0.00    0.00    0.00
      44   0.89687     0.44229      0.0000        0.00    0.00    0.00
      45    1.7654      1.1852      0.0000        0.00    0.00    0.00
      46    1.9184     0.78185      0.0000        0.00    0.00    0.00
      47    2.2457     0.74767      0.0000        0.00    0.00    0.00
      48    2.2981      1.2338      0.0000        0.00    0.00    0.00
      49    2.5000      0.0000      0.0000        0.00    0.00    0.00
      50   0.85685      1.3184      0.0000        0.00    0.00    0.00
      51    1.4061     0.60012      0.0000        0.00    0.00    0.00
      52    1.0039      2.3272      0.0000        0.00    0.00    0.00
      53    1.8112     0.50329      0.0000        0.00    0.00    0.00
      54    2.3294     0.45531      0.0000        0.00    0.00    0.00
      55    2.5285     0.92038      0.0000        0.00    0.00    0.00
      56    2.0030      1.5049      0.0000        0.00    0.00    0.00
      57    1.6751      1.7364      0.0000        0.00    0.00    0.00
      58    1.1690      1.9459      0.0000        0.00    0.00    0.00
      59    1.3620      2.6730      0.0000        0.00    0.00    0.00
      60   0.50745      2.5482      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      61   0.70980      2.1677      0.0000        0.00    0.00    0.00
      62    1.0874     0.92998      0.0000        0.00    0.00    0.00
      63    2.0683      1.0378      0.0000        0.00    0.00    0.00
      64   0.59109      1.1127      0.0000        0.00    0.00    0.00
      65   0.31236      2.0772      0.0000        0.00    0.00    0.00
      66    1.1579     0.51097      0.0000        0.00    0.00    0.00
      67    1.4336     0.23048      0.0000        0.00    0.00    0.00
      68    2.3855     0.73943      0.0000        0.00    0.00    0.00
      69    2.4249     0.23694      0.0000        0.00    0.00    0.00
      70    2.6397     0.47953      0.0000        0.00    0.00    0.00
      71    2.6908     0.92372      0.0000        0.00    0.00    0.00
      72    2.4856      1.2979      0.0000        0.00    0.00    0.00
      73    2.2150      1.6341      0.0000        0.00    0.00    0.00
      74    1.8982      1.9289      0.0000        0.00    0.00    0.00
      75    1.4662      2.1865      0.0000        0.00    0.00    0.00
      76    1.1830      2.5001      0.0000        0.00    0.00    0.00
      77    0.0000      2.5000      0.0000        0.00    0.00    0.00
      78   0.44902      2.6917      0.0000        0.00    0.00    0.00
      79   0.28404      2.4844      0.0000        0.00    0.00    0.00
      80    1.9196     0.24166      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      81   0.43448      1.4810      0.0000        0.00    0.00    0.00
      82    1.9168      1.1115      0.0000        0.00    0.00    0.00
      83    1.8842      1.3451      0.0000        0.00    0.00    0.00
      84    1.7111      1.0312      0.0000        0.00    0.00    0.00
      85    1.3333      0.0000      0.0000        0.00    0.00    0.00
      86    1.8648     0.64257      0.0000        0.00    0.00    0.00
      87    2.4167     0.87561      0.0000        0.00    0.00    0.00
      88    1.1481      2.7716      0.0000        0.00    0.00    0.00
      89    1.9933     0.90984      0.0000        0.00    0.00    0.00
      90    2.5833      0.0000      0.0000        0.00    0.00    0.00
      91    2.1866     0.93434      0.0000        0.00    0.00    0.00
      92    2.4133      1.0771      0.0000        0.00    0.00    0.00
      93    2.1506      1.3694      0.0000        0.00    0.00    0.00
      94    2.1832      1.1358      0.0000        0.00    0.00    0.00
      95    1.3620      1.0632      0.0000        0.00    0.00    0.00
      96    0.0000      1.3333      0.0000        0.00    0.00    0.00
      97   0.92705      2.8532      0.0000        0.00    0.00    0.00
      98   0.88822     0.78670      0.0000        0.00    0.00    0.00
      99    1.6929     0.52010      0.0000        0.00    0.00    0.00
     100   0.89876      2.4411      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     101   0.85687      2.2475      0.0000        0.00    0.00    0.00
     102    1.0865      2.1366      0.0000        0.00    0.00    0.00
     103    2.6667      0.0000      0.0000        0.00    0.00    0.00
     104    1.9536     0.48937      0.0000        0.00    0.00    0.00
     105   0.77646      2.8978      0.0000        0.00    0.00    0.00
     106    1.8391      1.6207      0.0000        0.00    0.00    0.00
     107    1.4221      1.8412      0.0000        0.00    0.00    0.00
     108    1.5077      1.5047      0.0000        0.00    0.00    0.00
     109    2.3050     0.83083      0.0000        0.00    0.00    0.00
     110   0.66601      2.2690      0.0000        0.00    0.00    0.00
     111   0.62374      2.9344      0.0000        0.00    0.00    0.00
     112   0.54671      2.9498      0.0000        0.00    0.00    0.00
     113    0.0000      2.5833      0.0000        0.00    0.00    0.00
     114    0.0000      2.6667      0.0000        0.00    0.00    0.00
     115   0.86603     0.50000      0.0000        0.00    0.00    0.00
     116   0.79335     0.60876      0.0000        0.00    0.00    0.00
     117   0.70711     0.70711      0.0000        0.00    0.00    0.00
     118   0.60876     0.79335      0.0000        0.00    0.00    0.00
     119    1.4167      0.0000      0.0000        0.00    0.00    0.00
     120    1.5000      0.0000      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     121    0.0000      1.4167      0.0000        0.00    0.00    0.00
     122    0.0000      1.5000      0.0000        0.00    0.00    0.00
     123   0.50000     0.86603      0.0000        0.00    0.00    0.00
     124   0.44229     0.89687      0.0000        0.00    0.00    0.00
     125   0.34956      1.1275      0.0000        0.00    0.00    0.00
     126   0.17852      1.1612      0.0000        0.00    0.00    0.00
     127   0.23807      1.3269      0.0000        0.00    0.00    0.00
     128   0.47687      1.2795      0.0000        0.00    0.00    0.00
     129    1.1474     0.13851      0.0000        0.00    0.00    0.00
     130    1.1159     0.29118      0.0000        0.00    0.00    0.00
     131    1.2569     0.29833      0.0000        0.00    0.00    0.00
     132    1.3038     0.14576      0.0000        0.00    0.00    0.00
     133    1.0013     0.62697      0.0000        0.00    0.00    0.00
     134    1.1572     0.78535      0.0000        0.00    0.00    0.00
     135    1.2356     0.55147      0.0000        0.00    0.00    0.00
     136    1.0802     0.47047      0.0000        0.00    0.00    0.00
     137   0.56047     0.95975      0.0000        0.00    0.00    0.00
     138   0.77514     0.94642      0.0000        0.00    0.00    0.00
     139   0.50388      1.0583      0.0000        0.00    0.00    0.00
     140   0.67830      1.1671      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     141   0.16370      2.8146      0.0000        0.00    0.00    0.00
